日期,上價,中價,下價,平均價,增減%,交易量(公斤),增減%
099/09/03,29.2,24.5,16.5,23.9,3,"17,712",-20
099/09/04,33.5,27.2,18.7,26.8,12,"15,701",-11
099/09/05,34.5,28.9,21.6,28.5,6,"18,699",19
099/09/07,33.6,28.7,23,28.5, -   ,"22,973",23
099/09/08,34.7,29.7,23.3,29.4,3,"17,881",-22
099/09/09,34.5,29.3,23.9,29.3, -   ,"16,269",-9
099/09/10,33.7,29.3,22.7,28.9,-1,"20,270",25
099/09/11,34.7,28.8,17.9,27.8,-4,"20,111",-1
099/09/12,33,25.9,16.8,25.5,-8,"24,764",23
099/09/14,31.8,24.7,16.9,24.6,-4,"26,286",6
099/09/15,29.9,22.7,15.3,22.7,-8,"23,243",-12
099/09/16,29.1,21.9,14.6,21.9,-4,"22,879",-2
099/09/17,36.8,28.8,21.3,28.9,32,"22,202",-3
099/09/18,52.2,39.3,26.1,39.2,36,"30,180",36
099/09/19,47.7,35.9,25.3,36.1,-8,"33,768",12
099/09/21,49.1,35,22.4,35.3,-2,"24,444",-28
099/09/22,43.1,24.9,5,24.6,-30,"30,794",26
099/09/25,40.1,23,11.2,24.1,-2,"31,611",3
099/09/26,37.5,27.7,18.6,27.8,15,"23,854",-25
099/09/28,32.7,26,17.2,25.6,-8,"30,246",27
099/09/29,34.4,24.3,15.8,24.6,-4,"24,820",-18
099/09/30,32.9,25.9,16.7,25.5,4,"22,766",-8
099/10/01,32.9,25.3,18.7,25.5,     ,"18,881",     
099/10/02,33.1,25.8,19.6,26,2,"24,062",27
099/10/03,32.1,23.9,17,24.2,-7,"28,165",17
099/10/05,31,22.8,17.1,23.3,-4,"34,923",24
099/10/06,30,22.8,18.1,23.3, -   ,"27,973",-20
099/10/07,28.4,21.1,16.6,21.7,-7,"26,328",-6
099/10/08,28.8,23.2,19.2,23.5,8,"21,044",-20
099/10/09,27.6,23,18.8,23.1,-2,"24,960",19
099/10/10,31.9,24.8,18.7,25,8,"24,052",-4
099/10/12,30.6,24.7,18.7,24.7,-1,"25,524",6
099/10/13,31.2,23.8,18,24.1,-2,"22,780",-11
099/10/14,29.6,21.6,15.2,22,-9,"22,359",-2
099/10/15,27.5,20.8,15.2,21,-5,"23,129",3
099/10/16,27.3,22.5,16.2,22.2,6,"22,957",-1
099/10/17,27.8,22.9,18,22.9,3,"23,651",3
099/10/19,27.7,21,14.7,21,-8,"28,988",23
099/10/20,26.9,19.1,11.7,19.2,-9,"24,000",-17
099/10/21,23.9,17.4,12.4,17.7,-8,"23,323",-3
099/10/22,29,21.1,15.3,21.5,21,"22,551",-3
099/10/23,27.4,22.5,18.4,22.6,5,"23,381",4
099/10/24,31.1,25.1,19,25.1,11,"23,701",1
099/10/26,32.8,26.1,20.4,26.3,5,"24,417",3
099/10/27,34.3,29.2,23.4,29.1,11,"17,223",-29
099/10/28,46.4,36.2,27.3,36.5,25,"11,423",-34
099/10/29,56.5,44.6,33.4,44.8,23,"12,922",13
099/10/30,57.6,48.4,41.9,49,9,"12,197",-6
099/10/31,61.6,53.3,45,53.3,9,"16,013",31
099/11/02,62.8,54,42.7,53.5, -   ,"11,317",-29
099/11/03,61.1,52.5,42.2,52.2,-2,"11,621",3
099/11/04,60.5,48.5,38.8,49,-6,"10,552",-9
099/11/05,56.2,46.5,36.4,46.4,-5,"12,451",18
099/11/06,54.4,44.1,32,43.7,-6,"15,149",22
099/11/07,52.3,38.6,22.1,38,-13,"17,693",17
099/11/09,49.2,28.9,18.9,30.9,-19,"21,947",24
099/11/10,44.3,27.5,18.8,29.2,-6,"15,379",-30
099/11/11,36,26,18.2,26.4,-10,"13,215",-14
099/11/12,40.3,29.2,19.3,29.4,11,"13,101",-1
099/11/13,43.8,32,24.4,32.9,12,"8,757",-33
099/11/14,56,42,31.5,42.7,30,"10,678",22
099/11/16,48.9,36.6,25.6,36.9,-14,"15,660",47
099/11/17,52.4,32.5,16.8,33.4,-9,"13,559",-13
099/11/18,47.1,29.6,18.1,30.8,-8,"10,611",-22
099/11/19,47.8,34.8,23.4,35.1,14,"8,030",-24
099/11/20,49.1,40.3,25.5,39.1,11,"14,369",79
099/11/21,47.9,37,23.2,36.5,-7,"10,876",-24
099/11/23,42.9,32,22.9,32.4,-11,"13,854",27
099/11/24,40.8,28.9,12.8,28.1,-13,"12,649",-9
099/11/25,35.6,25.4,12.5,24.9,-11,"10,096",-20
099/11/26,32.8,24.2,12.4,23.5,-6,"9,920",-2
099/11/27,34.2,25.6,16.7,25.6,9,"10,005",1
099/11/28,33.8,24.7,15,24.6,-4,"12,360",24
099/11/30,32.7,24.7,14.9,24.4,-1,"13,415",9
099/12/01,30.2,23,11.8,22.2,-9,"12,371",-8
099/12/02,30.1,20,9.9,20,-10,"11,827",-4
099/12/03,29,18.1,7.7,18.2,-9,"12,555",6
099/12/04,29.3,19.5,7.9,19.1,5,"13,043",4
099/12/05,28.6,20.3,9.9,19.9,4,"12,519",-4
099/12/07,26.8,21.7,11.4,20.7,4,"13,126",5
099/12/08,28.7,23.5,11.4,22.1,7,"12,711",-3
099/12/09,28.1,22.8,12,21.7,-2,"9,479",-25
099/12/10,27.4,22.5,10.7,21.1,-3,"10,303",9
099/12/11,27.3,22.5,12.1,21.4,1,"9,479",-8
099/12/12,35.7,26.5,14.5,26,21,"8,382",-12
099/12/14,38.8,29.2,17.1,28.7,10,"9,995",19
099/12/15,37.9,31,18.2,29.8,4,"8,247",-17
099/12/16,39.4,30.2,14.3,28.9,-3,"6,703",-19
099/12/17,46.8,38.4,29.4,38.3,33,"5,928",-12
099/12/18,47.9,38.5,24.7,37.6,-2,"6,206",5
099/12/19,60.6,48,34.4,47.8,27,"7,427",20
099/12/21,62.3,49.6,30.3,48.2,1,"6,522",-12
099/12/22,62.3,59.9,38.2,56,16,"8,611",32
099/12/23,62.9,55.3,33.1,52.4,-6,"4,863",-44
099/12/24,62.5,53.7,33.2,51.4,-2,"5,591",15
099/12/25,60.5,54.7,28,50.5,-2,"5,839",4
099/12/26,58.9,44.4,24.5,43.3,-14,"7,326",25
099/12/28,60,51.6,29.6,48.9,13,"6,517",-11
099/12/29,55.8,46.7,25.2,44.2,-10,"5,955",-9
099/12/30,56.3,50,25.3,46.3,5,"5,529",-7
099/12/31,61.6,51.2,22.1,47.5,3,"6,030",9
100/01/01,62,55.1,29.9,51.4,8,"3,651",-39
100/01/02,57.2,53.3,41.2,51.7,1,"6,148",68
100/01/04,56.1,48.3,30.1,46.2,-11,"7,086",15
100/01/05,56,46.4,30.5,45.1,-2,"5,330",-25
100/01/06,49.1,40.6,24.4,39.1,-13,"4,962",-7
100/01/07,50.2,44.3,30.6,42.7,9,"3,865",-22
100/01/08,52.3,46.3,32.2,44.7,5,"5,019",30
100/01/09,52.6,43.4,22.9,41.1,-8,"6,006",20
100/01/11,55,41.2,22.9,40.3,-2,"7,402",23
100/01/12,47.2,37.7,20.7,36.2,-10,"6,672",-10
100/01/13,46.9,40.2,26.7,38.8,7,"5,995",-10
100/01/14,46.5,31.2,13.2,30.7,-21,"5,899",-2
100/01/15,47.5,38.1,13.9,35.2,15,"6,703",14
100/01/16,46.3,38.2,14.2,35,-1,"6,567",-2
100/01/18,45.3,40,24.7,38,9,"6,089",-7
100/01/19,44.7,42.5,31.8,40.8,7,"9,575",57
100/01/20,43.5,38.4,17.3,35.2,-14,"4,850",-49
100/01/21,45.7,41.8,27.2,39.7,13,"5,884",21
100/01/22,50.7,42.1,22.7,40,1,"4,831",-18
100/01/23,48.3,41.6,26.6,39.9,0,"5,960",23
100/01/25,48.9,41.2,26,39.7,-1,"7,062",18
100/01/26,46.3,37.4,19.4,35.5,-11,"5,496",-22
100/01/27,46.2,34.6,16.6,33.3,-6,"5,143",-6
100/01/28,45.5,36.4,20.1,35,5,"4,848",-6
100/01/29,49.1,41,26.3,39.7,13,"3,685",-24
100/01/30,63.8,47.3,28.9,46.9,18,"4,077",11
100/01/31,69.8,55.3,42.5,55.7,19,"4,650",14
100/02/01,68.1,59.3,26.3,54.5,-2,"7,053",52
100/02/02,74.3,62.4,39.7,60.2,10,"4,283",-39
100/02/08,57.3,48.6,32.4,47.1,-22,"5,883",37
100/02/09,55,43,21.8,41.2,-13,"5,457",-7
100/02/10,53.1,39.9,22,39,-5,"5,438",0
100/02/11,46.7,36.9,20.2,35.5,-9,"5,627",3
100/02/12,48.5,41.1,29.4,40.3,14,"5,600",0
100/02/13,47.8,42.3,27.6,40.5,0,"6,007",7
100/02/15,48.3,41.9,24.5,39.7,-2,"6,782",13
100/02/16,47.2,44.1,31.1,42.1,6,"9,591",41
100/02/17,71.2,51.6,36.8,52.6,25,"6,019",-37
100/02/20,48.9,41.4,20.2,38.6,-27,"8,565",42
100/02/22,47.4,40.3,29.6,39.6,3,"8,559",0
100/02/23,54.2,42.1,25.8,41.2,4,"5,443",-36
100/02/24,40.4,36.5,24.5,34.9,-15,"5,249",-4
100/02/25,40.8,35.8,22.2,34.1,-2,"5,802",11
100/02/26,51.7,38.8,29.1,39.5,16,"4,974",-14
100/02/27,58,44.5,33.3,44.9,14,"5,788",16
100/03/01,50.6,43.2,30.1,42,-6,"7,496",30
100/03/02,56,45.5,28.8,44.3,5,"5,681",-24
100/03/03,48,43.8,28.8,41.6,-6,"5,119",-10
100/03/04,53.2,45.7,28.5,43.7,5,"4,592",-10
100/03/05,58.2,49,36,48.2,10,"5,351",17
100/03/06,56.8,48.4,36.5,47.7,-1,"5,872",10
100/03/08,55.2,51.5,41.2,50.2,5,"5,836",-1
100/03/09,55.3,50.3,32.2,47.7,-5,"5,340",-8
100/03/10,52.2,46.8,31.2,44.8,-6,"5,803",9
100/03/11,48.9,42.7,20,39.4,-12,"4,954",-15
100/03/12,50,40.4,20.3,38.3,-3,"7,620",54
100/03/13,48.3,40.4,25.5,39,2,"7,606",0
100/03/15,44.5,40.1,30.4,39.1,0,"8,094",6
100/03/16,45.1,40.8,26.2,38.8,-1,"7,004",-13
100/03/17,45.3,39.6,28.9,38.6,-1,"6,120",-13
100/03/18,43.5,41.4,27.4,39,1,"10,938",79
100/03/19,44.4,37.7,27.9,37.1,-5,"7,517",-31
100/03/20,41.3,34.1,25.8,33.9,-9,"8,944",19
100/03/22,38.2,31.5,19.2,30.4,-10,"13,007",45
100/03/23,36.5,30,13.5,28,-8,"9,947",-24
100/03/24,35.9,29,19.2,28.4,1,"8,795",-12
100/03/25,35.7,29.4,18.9,28.6,1,"8,380",-5
100/03/26,37.9,31.6,20.1,30.6,7,"8,273",-1
100/03/27,37.5,31.8,22.8,31.1,2,"9,598",16
100/03/29,46.5,37.1,29.3,37.4,20,"8,618",-10
100/03/30,47.3,38.4,28.2,38.1,2,"7,411",-14
100/03/31,50.2,43.9,30.9,42.6,12,"7,866",6
100/04/01,59.3,47.2,31.1,46.4,9,"5,857",-26
100/04/02,60,46.5,28.1,45.5,-2,"8,309",42
100/04/03,56.8,49.3,30.1,46.9,3,"8,889",7
100/04/04,58.4,51.9,39.5,50.7,8,"9,293",5
100/04/07,55,43.3,31.1,43.2,-15,"11,102",19
100/04/08,51.8,39,24.8,38.7,-10,"9,690",-13
100/04/09,44.3,33.4,18.6,32.6,-16,"12,006",24
100/04/10,41.4,28.8,16.1,28.8,-12,"12,734",6
100/04/12,36.9,28.6,16.1,27.8,-3,"16,866",32
100/04/13,35.4,21.6,9.5,22,-21,"15,346",-9
100/04/14,34.3,17.5,7.1,18.8,-15,"14,367",-6
100/04/15,29.7,16.2,7.7,17.2,-9,"14,962",4
100/04/16,27.4,14.3,6.8,15.4,-10,"16,878",13
100/04/17,24,16.4,8.4,16.3,6,"16,220",-4
100/04/19,22.7,16.6,8,16.1,-1,"20,702",28
100/04/20,22.6,13.8,7.7,14.4,-11,"17,339",-16
100/04/21,22.9,14.5,9.2,15.1,5,"15,506",-11
100/04/22,20.9,18.3,11.8,17.5,16,"24,005",55
100/04/23,22.4,16.7,10.7,16.7,-5,"14,818",-38
100/04/24,25.2,19.9,14.7,19.9,19,"14,870",0
100/04/26,24.9,18.3,12.6,18.5,-7,"17,101",15
100/04/27,25.4,18.7,12.1,18.7,1,"16,299",-5
100/04/28,23.9,16,8.3,16.1,-14,"17,984",10
100/04/29,22.9,15.3,8.3,15.4,-4,"21,296",18
100/04/30,19,12.6,6.9,12.7,-18,"18,750",-12
100/05/01,18.8,12.9,7.2,12.9,2,"21,072",12
100/05/03,17.8,13.4,8.9,13.4,4,"22,560",7
100/05/04,18.2,14.4,9,14.1,5,"17,048",-24
100/05/05,21.2,15.5,9.8,15.5,10,"13,564",-20
100/05/06,30.7,21.4,14,21.8,41,"12,915",-5
100/05/07,31.5,22.8,16.5,23.3,7,"14,234",10
100/05/08,32.5,25.4,16.3,25,7,"17,532",23
100/05/10,29.9,21.9,15.1,22.1,-12,"19,945",14
100/05/11,30.1,21.8,15,22.1,0,"16,343",-18
100/05/12,26.5,20.9,15.2,20.9,-5,"15,393",-6
100/05/13,26.4,20.2,13.9,20.2,-3,"17,794",16
100/05/14,25.4,18.3,13,18.6,-8,"21,523",21
100/05/15,22.6,14.3,8,14.7,-21,"28,279",31
100/05/17,21.8,12.9,8.4,13.8,-6,"31,221",10
100/05/18,21.8,17.2,12.8,17.2,25,"20,137",-36
100/05/19,22.3,17.5,12.9,17.5,2,"18,389",-9
100/05/20,25,21.1,16,20.9,19,"16,425",-11
100/05/21,29.3,22.7,18,23.1,11,"16,303",-1
100/05/22,35.3,27.5,19.4,27.5,19,"16,270",0
100/05/24,48.4,36.9,25.4,36.9,34,"15,887",-2
100/05/25,43,33.5,26.1,33.9,-8,"17,172",8
100/05/26,40.3,30.8,23.3,31.2,-8,"19,095",11
100/05/27,40.4,30.3,21.5,30.6,-2,"15,343",-20
100/05/28,38,31.7,23.7,31.3,2,"17,637",15
100/05/29,37.2,32.2,26.5,32,2,"19,007",8
100/05/31,36.9,31.9,26.3,31.8,-1,"21,570",13
100/06/01,36.5,30.8,23.4,30.5,-4,"18,122",-16
100/06/02,36.5,28.6,20.5,28.5,-7,"20,551",13
100/06/03,35.5,27.3,18.7,27.2,-5,"20,032",-3
100/06/04,31.9,22.5,12.1,22.3,-18,"24,015",20
100/06/05,32.2,16.1,6.8,17.5,-22,"27,959",16
100/06/06,28,16.8,10.1,17.7,1,"24,820",-11
100/06/09,21.8,13.9,6.1,13.9,-21,"31,298",26
100/06/10,21.7,10.7,3.7,11.5,-17,"29,592",-5
100/06/11,18.2,10.3,5.3,10.9,-5,"26,313",-11
100/06/12,17.6,12.8,6.5,12.5,15,"26,408",0
100/06/14,16.6,10.9,5.9,11.1,-11,"31,810",20
100/06/15,17.2,10.2,5.2,10.6,-5,"27,301",-14
100/06/16,15.9,9,5,9.6,-9,"26,651",-2
100/06/17,16.3,9,4.7,9.6,0,"24,020",-10
100/06/18,15.9,9,5.2,9.6,0,"25,610",7
100/06/19,16.2,10.4,6,10.7,11,"25,385",-1
100/06/21,15.2,11,6.7,11,3,"26,811",6
100/06/22,16.6,11.8,7.3,11.8,7,"23,247",-13
100/06/23,17.9,12.1,7.1,12.2,3,"22,620",-3
100/06/24,18.9,13.4,8.3,13.5,11,"21,624",-4
100/06/25,24.9,17.6,11.3,17.8,32,"19,399",-10
100/06/26,27.5,21.1,13.2,20.8,17,"21,218",9
100/06/28,26.5,21.8,13.4,21,1,"25,009",18
100/06/29,27.4,21.4,14.5,21.2,1,"20,281",-19
100/06/30,25.9,18.9,9.9,18.5,-13,"21,992",8
100/07/01,28.2,22.2,14.9,21.9,18,"19,120",-13
100/07/02,35.2,27.5,19.2,27.4,25,"16,915",-12
100/07/03,38.1,31.5,23.6,31.2,14,"17,505",3
100/07/05,34.8,27,19.7,27.1,-13,"23,909",37
100/07/06,36.7,24.6,15.5,25.2,-7,"24,261",1
100/07/07,29,20.4,14,20.8,-17,"22,278",-8
100/07/08,27.9,21.1,15.1,21.3,2,"22,621",2
100/07/09,26.9,22.4,17.5,22.3,5,"22,301",-1
100/07/10,27.8,23.9,18.6,23.6,6,"25,262",13
100/07/12,26.3,19.5,13,19.5,-17,"30,458",21
100/07/13,25.3,15.2,7.6,15.7,-19,"30,839",1
100/07/14,24,14.3,7.2,14.8,-6,"24,649",-20
100/07/15,23.3,16.4,8.6,16.2,9,"21,210",-14
100/07/16,25.2,19.2,12.4,19.1,18,"22,370",5
100/07/17,31.5,23.9,13.3,23.3,22,"21,394",-4
100/07/19,28.1,22.8,16.3,22.6,-3,"25,911",21
100/07/20,31.2,25.2,18.3,25,11,"21,479",-17
100/07/21,32.3,26.3,18.5,26,4,"19,425",-10
100/07/22,33.9,25.8,16.2,25.5,-2,"21,987",13
100/07/23,34,27.6,19.5,27.2,7,"21,790",-1
100/07/24,33.2,24.8,16.9,24.9,-8,"26,406",21
100/07/26,32.7,23,16.1,23.6,-5,"29,331",11
100/07/27,30.8,23.4,17.6,23.7,0,"27,748",-5
100/07/28,30.8,24.1,18.8,24.4,3,"25,482",-8
100/07/29,30.8,25.3,19.5,25.3,4,"24,491",-4
100/07/30,31,25.3,19.6,25.3,0,"26,138",7
100/07/31,30.5,23.6,17,23.6,-7,"32,173",23
100/08/02,30.6,19.6,13.7,20.6,-13,"35,624",11
100/08/03,27.8,19.2,13.4,19.7,-4,"29,611",-17
100/08/04,25.3,19.6,13.5,19.5,-1,"27,646",-7
100/08/05,26,21,14.4,20.7,6,"24,548",-11
100/08/06,28.9,23.8,17.5,23.5,14,"25,226",3
100/08/07,27.5,22.2,15.9,22,-6,"29,357",16
100/08/09,27.5,19.3,9.7,19,-14,"34,351",17
100/08/10,25.2,15,5.8,15.2,-20,"28,804",-16
100/08/11,22.4,13.3,6,13.6,-11,"25,429",-12
100/08/12,20.2,12.9,6.8,13.1,-4,"24,818",-2
100/08/13,22,16.2,10.4,16.2,24,"26,569",7
100/08/14,29,21.2,13.6,21.2,31,"27,925",5
100/08/17,21.6,16.3,10.6,16.2,-24,"34,691",24
100/08/18,27.9,15.9,10.3,17.2,6,"26,717",-23
100/08/19,22,16.2,11.8,16.5,-4,"25,581",-4
100/08/20,24,18.8,13,18.7,13,"27,084",6
100/08/21,23.7,18.8,14,18.8,1,"28,645",6
100/08/23,22.6,15.4,9.3,15.6,-17,"37,715",32
100/08/24,22,14.1,7.8,14.4,-8,"28,254",-25
100/08/25,21.6,16.7,10.7,16.5,15,"22,297",-21
100/08/26,24.1,19,13.7,18.9,15,"22,626",1
100/08/27,33.9,27.3,19.4,27.1,43,"21,210",-6
100/08/28,46,37.2,19.6,35.4,31,"24,710",17
100/08/30,32.9,24.6,17.8,24.9,-30,"34,432",39
100/08/31,44,28.8,19.2,29.9,20,"17,229",-50
100/09/01,34.7,27.7,20.1,27.6,-8,"15,366",-11
100/09/02,40.3,30.6,19,30.2,9,"15,519",1
100/09/03,44.3,34.3,26,34.7,15,"16,050",3
100/09/04,56.3,42,31.6,42.8,23,"15,721",-2
100/09/06,47.6,40.2,27.3,39.1,-9,"20,823",32
100/09/07,53.4,40,28.8,40.4,3,"15,774",-24
100/09/08,47.6,37.9,29.9,38.2,-5,"15,815",0
100/09/09,44.8,36.6,28.4,36.6,-4,"18,976",20
100/09/10,42.7,31.3,18.9,31.1,-15,"24,605",30
100/09/11,38.9,20.9,9,22.1,-29,"29,787",21
100/09/12,30.9,16.8,8.9,18.1,-18,"30,237",2
100/09/15,27.2,14.4,8.8,15.9,-12,"37,721",25
100/09/16,23.6,15.6,10.8,16.3,3,"28,030",-26
100/09/17,24.3,18.4,14.3,18.8,15,"25,280",-10
100/09/18,26.9,20.1,15.6,20.6,10,"31,660",25
100/09/20,24.1,18.4,13.1,18.5,-10,"32,292",2
100/09/21,25.8,19.2,13.4,19.4,5,"24,970",-23
100/09/22,23.7,18.5,13.7,18.6,-4,"22,840",-9
100/09/23,23.7,17.7,12.2,17.8,-4,"22,935",0
100/09/24,23.5,18.5,13.2,18.4,3,"24,550",7
100/09/25,23.9,19.3,15.3,19.4,5,"24,895",1
100/09/27,23.3,17.1,12,17.3,-11,"33,085",33
100/09/28,24.4,16.6,11,17.1,-1,"27,215",-18
100/09/29,22,13.6,6.6,13.9,-19,"28,657",5
100/09/30,21.6,13.6,7,13.9,0,"23,856",-17
100/10/01,21.5,14.5,8.5,14.7,6,"22,568",-5
100/10/02,25.3,17.2,10.9,17.6,20,"22,219",-2
100/10/04,38.9,27,18,27.6,57,"19,923",-10
100/10/05,35.8,27.6,20,27.7,0,"19,503",-2
100/10/06,44.3,34,27.2,34.7,25,"15,715",-19
100/10/07,38.8,32.1,24.9,32,-8,"14,710",-6
100/10/08,44.5,32.3,23.2,32.9,3,"17,407",18
100/10/09,37.2,28,20.4,28.3,-14,"21,343",23
100/10/11,33.4,22.6,15.2,23.3,-18,"29,218",37
100/10/12,32.2,21.1,13,21.7,-7,"23,873",-18
100/10/13,26.9,17.4,11.9,18.2,-16,"22,826",-4
100/10/14,25.8,16.6,11.6,17.4,-4,"22,768",0
100/10/15,25.9,18.3,12.6,18.7,7,"20,945",-8
100/10/16,33.3,24.2,17,24.6,32,"19,067",-9
100/10/18,31.4,25,19.6,25.2,2,"21,501",13
100/10/19,35.7,29.3,23.2,29.4,17,"16,838",-22
100/10/20,52.2,36.8,27,37.9,29,"10,346",-39
100/10/21,48.2,38.2,29.7,38.5,2,"12,000",16
100/10/22,49,36.9,28.4,37.6,-2,"15,185",27
100/10/23,44.8,36.4,27.6,36.3,-3,"17,642",16
100/10/25,38.6,28.3,18.2,28.3,-22,"24,324",38
100/10/26,37.4,23.4,12.2,24,-15,"18,570",-24
100/10/27,32.8,20.7,14.1,21.8,-9,"16,454",-11
100/10/28,28.9,20.2,14.1,20.7,-5,"16,020",-3
100/10/29,26.5,20.1,13,19.9,-4,"16,310",2
100/10/30,25.7,19.8,13,19.6,-2,"20,392",25
100/11/01,25.9,20.9,15.4,20.8,6,"17,689",-13
100/11/02,26.2,20.4,13,20.1,-3,"15,008",-15
100/11/03,25.9,19.3,10.2,18.8,-6,"15,199",1
100/11/04,24.9,17.2,9.1,17.1,-9,"15,725",3
100/11/05,25.4,19.6,12,19.2,12,"17,094",9
100/11/06,25.6,18.8,11.8,18.8,-2,"16,481",-4
100/11/08,22.8,16.3,9.6,16.2,-14,"23,300",41
100/11/09,24.3,17.5,9.7,17.3,7,"17,913",-23
100/11/10,30.8,20.5,12.8,21,21,"12,004",-33
100/11/11,39.1,27.5,17.7,27.9,33,"10,298",-14
100/11/12,45.3,31.2,19.1,31.6,13,"12,644",23
100/11/13,50.8,37.6,24.3,37.6,19,"15,030",19
100/11/15,52.9,39.9,25.9,39.7,6,"14,398",-4
100/11/16,55.1,43.3,26.3,42.3,7,"11,430",-21
100/11/17,64.7,48.9,32.1,48.7,15,"9,576",-16
100/11/18,63.5,50.7,33.7,49.9,2,"10,262",7
100/11/19,65.7,52.4,33.8,51.3,3,"12,213",19
100/11/20,70.9,59.1,43.4,58.3,14,"11,432",-6
100/11/22,75.1,60.8,44.5,60.4,4,"10,761",-6
100/11/23,73.8,65.6,51.9,64.5,7,"9,385",-13
100/11/24,76,68.1,52.9,66.6,3,"9,492",1
100/11/25,87.6,72.3,58.5,72.6,9,"7,107",-25
100/11/26,94.6,81.7,66.2,81.2,12,"7,655",8
100/11/27,92.5,84.4,72.3,83.6,3,"9,317",22
100/11/29,95,71.9,45.8,71.3,-15,"10,638",14
100/11/30,92,71.3,42.3,69.6,-2,"8,166",-23
100/12/01,73.7,65.2,46.7,63.2,-9,"6,617",-19
100/12/02,76.8,67,49.4,65.5,4,"6,753",2
100/12/03,89.9,71.6,54.5,71.8,10,"7,671",14
100/12/04,94.5,80.3,54.8,78,9,"8,389",9
100/12/06,101.4,89.2,70.3,87.9,13,"8,020",-4
100/12/07,93.7,83.3,56.9,80.1,-9,"7,286",-9
100/12/08,95,83.8,50,79.3,-1,"7,498",3
100/12/09,94.7,86.6,55.3,82,3,"5,709",-24
100/12/10,98.8,86.3,59.7,83.5,2,"6,507",14
100/12/11,95.8,87.8,64.7,84.8,2,"6,227",-4
100/12/13,95.4,90.3,76.4,88.6,4,"6,336",2
100/12/14,95.4,88.4,70.2,86.1,-3,"5,601",-12
100/12/15,95.3,89.2,62.5,85.1,-1,"5,459",-3
100/12/16,96.1,90,60.9,85.4,0,"4,961",-9
100/12/17,90,82.9,53.4,78.5,-8,"5,939",20
100/12/18,88.3,78.2,53.6,75.3,-4,"6,707",13
100/12/20,86.7,79.5,59.9,77,2,"7,273",8
100/12/21,83.9,76.8,55.6,74,-4,"5,387",-26
100/12/22,82.4,76.6,61.1,74.7,1,"4,464",-17
100/12/23,90,82.9,72,82.1,10,"3,950",-12
100/12/24,84.8,75.3,55.2,73.2,-11,"5,160",31
100/12/25,89.1,80,63.4,78.5,7,"6,499",26
100/12/27,88.6,77.9,59.9,76.4,-3,"4,201",-35
100/12/28,92,81.1,54.3,77.9,2,"4,937",18
100/12/29,85.2,73.5,47.8,70.7,-9,"5,554",12
100/12/30,80.3,65.1,46.2,64.4,-9,"3,661",-34
100/12/31,77.9,66.9,37.2,63.1,-2,"6,610",81
101/01/01,75.1,61.1,32.5,58.2,-8,"6,868",4
101/01/03,73,55.7,34,54.8,-6,"8,441",23
101/01/04,69,54.2,27.3,51.8,-5,"7,213",-15
101/01/05,57.9,44.6,24.3,43.2,-17,"6,792",-6
101/01/06,56.2,42.9,24.6,41.9,-3,"5,417",-20
101/01/07,55.9,45.6,30.9,44.7,7,"4,999",-8
101/01/08,59,47,35.6,47.1,5,"5,089",2
101/01/10,65.2,55.7,44.5,55.3,17,"6,252",23
101/01/11,64,56.9,37.1,54.3,-2,"5,435",-13
101/01/12,64.3,51.8,28.2,49.6,-9,"5,784",6
101/01/13,66.6,55.9,28.4,52.6,6,"4,562",-21
101/01/14,61.7,49.6,17.8,45.7,-13,"5,547",22
101/01/15,77.7,58.7,45.8,59.9,31,"4,673",-16
101/01/17,62.9,44.4,36.4,46.5,-22,"14,714",215
101/01/18,78,61.9,29.3,58.6,26,"6,186",-58
101/01/19,65.7,52.8,25.3,49.9,-15,"5,806",-6
101/01/20,60.8,47.7,24,45.6,-9,"4,841",-17
101/01/21,97.9,62.6,40.8,65.3,43,"6,008",24
101/01/22,142.3,78.2,48.7,85.1,30,"7,146",19
101/01/28,93,74.9,51,73.7,-13,"4,910",-31
101/01/29,98.6,79.7,55.2,78.6,7,"4,798",-2
101/01/30,83,71.2,44.4,68.2,-13,"5,527",15
101/02/01,90,61.5,30,60.9,-11,"6,358",15
101/02/02,77,46.6,17.1,46.8,-23,"6,518",3
101/02/03,62.3,35.7,9.3,35.7,-24,"4,911",-25
101/02/04,47.7,40,18.7,37.3,4,"6,442",31
101/02/05,55.8,41.4,17,39.4,6,"6,224",-3
101/02/06,63,44.3,21.4,43.4,10,"4,992",-20
101/02/09,57.9,47.6,26.4,45.4,5,"8,965",80
101/02/10,60.1,45.9,22.1,44,-3,"7,760",-13
101/02/11,51.8,37.4,14,35.6,-19,"6,638",-14
101/02/12,53.3,44,26.8,42.4,19,"5,248",-21
101/02/14,50,43.8,25.7,41.4,-2,"7,635",45
101/02/15,51.7,45.8,32.8,44.4,7,"5,036",-34
101/02/16,50.8,41.7,16.2,38.4,-14,"6,051",20
101/02/17,50.2,43.4,18.8,39.8,4,"5,684",-6
101/02/18,51.2,40.3,29.8,40.3,1,"12,365",118
101/02/19,58.2,46.4,28.8,45.2,12,"6,059",-51
101/02/21,57.4,48.6,31.1,46.9,4,"6,697",11
101/02/22,59,52.2,36.1,50.3,7,"5,522",-18
101/02/23,55.4,49.2,21.5,44.9,-11,"4,890",-11
101/02/24,56.3,49.3,16.9,44.2,-2,"5,296",8
101/02/25,57.2,49.6,20.7,45.3,2,"5,112",-3
