日期,上價,中價,下價,平均價,增減%,交易量(公斤),增減%
085/08/26,25,19,12,20.1,-7,"16,971",-5
085/08/27,26,20,14,20.1,  -  ,"16,380",-3
085/08/28,35,28,20,28.9,44,"13,761",-16
085/08/31,22,17,12,15.2,  -  ,"21,072",  -  
085/09/01,25,18,10,17,12,"16,290",-23
085/09/02,22,17,12,16.5,-3,"12,900",-21
085/09/03,24,17,10,18.5,12,"10,506",-19
085/09/04,20,15,10,15.7,-15,"9,750",-7
085/09/05,17,12,7,12.5,-20,"16,291",67
085/09/06,16,12,8,11.4,-9,"16,195",-1
085/09/08,18,13,8,12.9,  -  ,"18,185",  -  
085/09/09,20,14,8,12.5,-3,"14,766",-19
085/09/10,22,16,10,14.2,14,"18,040",22
085/09/11,20,15,10,12.9,-9,"14,565",-19
085/09/12,20,15,10,13.5,5,"12,381",-15
085/09/13,18,13,8,11.6,-14,"13,031",5
085/09/14,17,12,7,11.7,1,"16,304",25
085/09/16,13,9,4,7.4,  -  ,"20,124",  -  
085/09/17,10,7,4,6.3,-15,"18,630",-7
085/09/18,10,7,4,6.3,  -  ,"18,005",-3
085/09/19,10,7,4,6.6,5,"20,034",11
085/09/20,12,8,4,6.1,-8,"14,431",-28
085/09/21,16,12,7,10.8,77,"16,715",16
085/09/23,11,8,5,6.4,  -  ,"16,226",  -  
085/09/24,10,7,4,6.1,-5,"13,085",-19
085/09/25,9,6,3,6,-2,"19,132",46
085/09/26,9,6,3,6.2,3,"12,255",-36
085/09/27,10,7,4,6,-3,"15,862",29
085/09/30,9,6,3,5,  -  ,"16,025",  -  
085/10/01,9,6,3,6.3,26,"11,700",-27
085/10/02,16,12,7,10.9,73,"10,142",-13
085/10/03,18,14,10,13.2,21,"13,100",29
085/10/04,18,13,8,12,-9,"10,934",-17
085/10/05,30,20,10,12.3,3,"15,361",40
085/10/06,20,14,8,14.1,15,"12,355",-20
085/10/08,18,13,8,11.3,  -  ,"12,139",  -  
085/10/09,15,10,5,11.2,-1,"15,731",30
085/10/10,16,11,6,10.3,-8,"10,045",-36
085/10/11,16,11,6,12.5,21,"7,429",-26
085/10/12,18,13,8,11.2,-10,"12,560",69
085/10/13,18,13,8,12.6,13,"11,625",-7
085/10/15,17,12,7,10.2,  -  ,"11,705",  -  
085/10/16,15,10,5,9.4,-8,"9,770",-17
085/10/17,16,11,6,11,17,"6,900",-29
085/10/18,20,15,8,15.9,45,"6,331",-8
085/10/19,20,15,10,15.9,  -  ,"8,381",32
085/10/20,28,22,16,22.3,40,"7,895",-6
085/10/22,28,22,15,21.1,  -  ,"7,635",  -  
085/10/23,22,17,12,16.9,-20,"7,835",3
085/10/24,22,17,12,16.3,-4,"7,081",-10
085/10/25,25,20,15,18.9,16,"4,065",-43
085/10/26,27,21,15,23.9,26,"4,623",14
085/10/27,30,25,20,25.5,7,"7,342",59
085/10/29,28,22,15,21.3,  -  ,"6,205",  -  
085/10/30,25,19,13,17.9,-16,"8,266",33
085/10/31,22,16,10,14.3,-20,"7,005",-15
085/11/01,20,14,8,12.4,-13,"6,070",-13
085/11/02,18,12,6,12,-3,"9,128",50
085/11/03,18,12,5,10.4,-13,"7,412",-19
