日期,市場,產品,上價,中價,下價,平均價,增減%,交易量(公斤),增減%
106/03/26,109 台北一,LA1 甘藍 初秋 ,6.3,4.1,2.2,4.2,-2,"163,878",-10
106/03/28,109 台北一,LA1 甘藍 初秋 ,6.6,3.9,2.1,4.1,-2,"205,044",25
106/03/29,109 台北一,LA1 甘藍 初秋 ,6.8,3.8,2.3,4.1,0,"206,266",1
106/03/30,109 台北一,LA1 甘藍 初秋 ,7.1,4.6,2.8,4.7,15,"161,769",-22
106/03/31,109 台北一,LA1 甘藍 初秋 ,7.4,4.7,2.4,4.8,2,"151,066",-7
106/04/01,109 台北一,LA1 甘藍 初秋 ,7.4,3.9,1.9,4.2,-12,"207,418",37
106/04/02,109 台北一,LA1 甘藍 初秋 ,9.1,5.9,3.7,6.1,45,"167,379",-19
106/04/03,109 台北一,LA1 甘藍 初秋 ,8.6,5.3,2.7,5.4,-11,"193,629",16
106/04/06,109 台北一,LA1 甘藍 初秋 ,8.4,5.1,2.8,5.3,-2,"171,387",-11
106/04/07,109 台北一,LA1 甘藍 初秋 ,10.1,6.9,4.1,7,32,"137,463",-20
106/04/08,109 台北一,LA1 甘藍 初秋 ,10.8,5.8,2.8,6.2,-11,"171,510",25
106/04/09,109 台北一,LA1 甘藍 初秋 ,9.2,4.7,2.1,5.1,-18,"223,139",30
106/04/11,109 台北一,LA1 甘藍 初秋 ,8.3,4.6,1.6,4.8,-6,"216,346",-3
106/04/12,109 台北一,LA1 甘藍 初秋 ,7.5,4.3,1.6,4.4,-8,"195,953",-9
106/04/13,109 台北一,LA1 甘藍 初秋 ,8.4,5.4,1.6,5.2,18,"113,348",-42
106/04/14,109 台北一,LA1 甘藍 初秋 ,9.1,7.1,4.2,6.9,33,"119,187",5
106/04/15,109 台北一,LA1 甘藍 初秋 ,10.3,7.7,4.8,7.6,10,"134,692",13
106/04/16,109 台北一,LA1 甘藍 初秋 ,9.4,6.5,2.7,6.3,-17,"207,215",54
106/04/18,109 台北一,LA1 甘藍 初秋 ,8.6,5.5,1.9,5.4,-14,"210,543",2
106/04/19,109 台北一,LA1 甘藍 初秋 ,8.4,5.3,2.3,5.3,-2,"173,531",-18
106/04/20,109 台北一,LA1 甘藍 初秋 ,8.2,5,2.1,5.1,-4,"179,624",4
106/04/21,109 台北一,LA1 甘藍 初秋 ,8.3,5.1,3,5.3,4,"156,998",-13
106/04/22,109 台北一,LA1 甘藍 初秋 ,9.1,5.1,2.5,5.4,2,"164,788",5
106/04/23,109 台北一,LA1 甘藍 初秋 ,13.9,10.6,8,10.7,98,"113,259",-31
106/04/25,109 台北一,LA1 甘藍 初秋 ,11.6,7.5,3.8,7.6,-29,"186,324",65
106/04/26,109 台北一,LA1 甘藍 初秋 ,15,9.8,5.2,9.9,30,"122,155",-34
106/04/27,109 台北一,LA1 甘藍 初秋 ,15.6,11.2,4.9,10.8,9,"130,378",7
106/04/28,109 台北一,LA1 甘藍 初秋 ,15.6,10.5,5.1,10.5,-3,"145,445",12
106/04/29,109 台北一,LA1 甘藍 初秋 ,15.4,11.6,6.3,11.3,8,"158,842",9
106/04/30,109 台北一,LA1 甘藍 初秋 ,14.5,8.9,4,9,-20,"217,804",37
106/05/02,109 台北一,LA1 甘藍 初秋 ,14.9,10.2,4.8,10,11,"192,951",-11
106/05/03,109 台北一,LA1 甘藍 初秋 ,15.4,10.6,4.1,10.3,3,"181,370",-6
106/05/04,109 台北一,LA1 甘藍 初秋 ,14.6,10.1,5.3,10,-3,"173,470",-4
106/05/05,109 台北一,LA1 甘藍 初秋 ,15.4,11.7,5.2,11.1,11,"165,722",-4
106/05/06,109 台北一,LA1 甘藍 初秋 ,15.9,12.4,6.3,11.9,7,"163,550",-1
106/05/07,109 台北一,LA1 甘藍 初秋 ,18.2,13.5,4.7,12.6,6,"135,083",-17
106/05/09,109 台北一,LA1 甘藍 初秋 ,15.6,11.1,4.3,10.6,-16,"176,982",31
106/05/10,109 台北一,LA1 甘藍 初秋 ,14.9,9.9,4.4,9.8,-8,"172,281",-3
106/05/11,109 台北一,LA1 甘藍 初秋 ,13.6,9.4,5.2,9.4,-4,"143,780",-17
106/05/12,109 台北一,LA1 甘藍 初秋 ,11.9,8.5,4.8,8.4,-11,"155,531",8
106/05/13,109 台北一,LA1 甘藍 初秋 ,12.4,8.9,5.5,8.9,6,"153,136",-2
106/05/14,109 台北一,LA1 甘藍 初秋 ,14.1,10.9,7.6,10.9,22,"131,696",-14
106/05/16,109 台北一,LA1 甘藍 初秋 ,13.4,10,6,9.9,-9,"157,564",20
106/05/17,109 台北一,LA1 甘藍 初秋 ,11.4,7.7,3,7.5,-24,"168,240",7
106/05/18,109 台北一,LA1 甘藍 初秋 ,13.3,9.4,4.9,9.3,24,"149,513",-11
106/05/19,109 台北一,LA1 甘藍 初秋 ,12.6,7.9,4.2,8.1,-13,"164,113",10
106/05/20,109 台北一,LA1 甘藍 初秋 ,12.4,8.9,5.3,8.9,10,"169,102",3
106/05/21,109 台北一,LA1 甘藍 初秋 ,15.2,11.2,6.9,11.1,25,"154,853",-8
106/05/23,109 台北一,LA1 甘藍 初秋 ,11.8,9,6.2,9,-19,"187,813",21
106/05/24,109 台北一,LA1 甘藍 初秋 ,11.3,8.3,4.8,8.2,-9,"174,626",-7
106/05/25,109 台北一,LA1 甘藍 初秋 ,10.7,7.5,4.2,7.5,-9,"191,513",10
106/05/26,109 台北一,LA1 甘藍 初秋 ,11.9,8.2,5,8.3,11,"166,722",-13
106/05/27,109 台北一,LA1 甘藍 初秋 ,11.8,7.7,3.5,7.7,-7,"192,692",16
106/05/28,109 台北一,LA1 甘藍 初秋 ,11.8,8.2,3.9,8.1,5,"185,345",-4
106/05/29,109 台北一,LA1 甘藍 初秋 ,13.2,8.6,4.5,8.7,7,"155,067",-16
106/05/30,109 台北一,LA1 甘藍 初秋 ,21,16.5,12.9,16.7,92,"157,818",2
106/06/02,109 台北一,LA1 甘藍 初秋 ,18.2,15.2,11.4,15,-10,"160,165",1
106/06/03,109 台北一,LA1 甘藍 初秋 ,19.5,16.1,13.4,16.2,8,"153,810",-4
106/06/04,109 台北一,LA1 甘藍 初秋 ,38.4,32.9,26.3,32.7,102,"134,036",-13
106/06/06,109 台北一,LA1 甘藍 初秋 ,31,23.9,11.7,22.9,-30,"205,534",53
106/06/07,109 台北一,LA1 甘藍 初秋 ,22.8,15.3,6,14.9,-35,"170,651",-17
106/06/08,109 台北一,LA1 甘藍 初秋 ,21.7,17,10.6,16.6,11,"128,586",-25
106/06/09,109 台北一,LA1 甘藍 初秋 ,20.3,14.1,4.9,13.5,-19,"155,451",21
106/06/10,109 台北一,LA1 甘藍 初秋 ,25.1,20.6,15.2,20.4,51,"113,885",-27
106/06/11,109 台北一,LA1 甘藍 初秋 ,24.9,19,12.5,18.9,-7,"141,548",24
106/06/13,109 台北一,LA1 甘藍 初秋 ,24.7,20.7,13.1,20,6,"148,015",5
106/06/14,109 台北一,LA1 甘藍 初秋 ,28.9,24,16.8,23.6,18,"124,938",-16
106/06/15,109 台北一,LA1 甘藍 初秋 ,30.6,26.1,17.3,25.2,7,"124,915",0
106/06/16,109 台北一,LA1 甘藍 初秋 ,31.3,26.8,19.9,26.3,4,"109,858",-12
106/06/17,109 台北一,LA1 甘藍 初秋 ,31.5,24.1,9.5,22.6,-14,"146,099",33
106/06/18,109 台北一,LA1 甘藍 初秋 ,32.2,22.1,8.3,21.3,-6,"140,097",-4
106/06/20,109 台北一,LA1 甘藍 初秋 ,31.1,25.3,15.1,24.4,15,"133,056",-5
106/06/21,109 台北一,LA1 甘藍 初秋 ,30.8,22.7,10.8,21.9,-10,"124,912",-6
106/06/22,109 台北一,LA1 甘藍 初秋 ,33.9,30.2,22.2,29.4,34,"74,098",-41
106/06/23,109 台北一,LA1 甘藍 初秋 ,33.8,30.3,23.4,29.6,1,"96,262",30
106/06/24,109 台北一,LA1 甘藍 初秋 ,37.8,33.2,24.5,32.4,9,"101,729",6
106/06/25,109 台北一,LA1 甘藍 初秋 ,43.4,37.4,22.7,35.7,10,"91,434",-10
106/06/27,109 台北一,LA1 甘藍 初秋 ,36.7,31.8,19.1,30.2,-15,"112,601",23
106/06/28,109 台北一,LA1 甘藍 初秋 ,34,25.4,14.4,25,-17,"94,233",-16
106/06/29,109 台北一,LA1 甘藍 初秋 ,35.4,30.7,24.9,30.5,22,"67,207",-29
106/06/30,109 台北一,LA1 甘藍 初秋 ,40.2,37.4,30.8,36.6,20,"52,499",-22
106/07/01,109 台北一,LA1 甘藍 初秋 ,36.8,29.4,20.6,29.1,-20,"99,312",89
106/07/02,109 台北一,LA1 甘藍 初秋 ,48.5,42.4,28.5,40.9,41,"62,617",-37
106/07/04,109 台北一,LA1 甘藍 初秋 ,38.9,33.1,22.3,32.1,-22,"84,594",35
106/07/05,109 台北一,LA1 甘藍 初秋 ,40.4,34.5,22.7,33.3,4,"62,803",-26
106/07/06,109 台北一,LA1 甘藍 初秋 ,36.4,31.1,23.5,30.6,-8,"62,751",0
106/07/07,109 台北一,LA1 甘藍 初秋 ,36.4,28.9,18.7,28.4,-7,"73,395",17
106/07/08,109 台北一,LA1 甘藍 初秋 ,37.3,30.1,20.4,29.6,4,"73,071",0
106/07/09,109 台北一,LA1 甘藍 初秋 ,39.9,33.1,21.6,32.2,9,"74,475",2
106/07/11,109 台北一,LA1 甘藍 初秋 ,34.5,28.2,20.4,27.9,-13,"101,633",36
106/07/12,109 台北一,LA1 甘藍 初秋 ,34.6,27.2,19.9,27.2,-3,"80,611",-21
106/07/13,109 台北一,LA1 甘藍 初秋 ,35.5,30,19.5,29,7,"57,001",-29
106/07/14,109 台北一,LA1 甘藍 初秋 ,35.9,31.6,20.3,30.2,4,"61,379",8
106/07/15,109 台北一,LA1 甘藍 初秋 ,38.2,34.3,26.6,33.5,11,"66,295",8
106/07/16,109 台北一,LA1 甘藍 初秋 ,39.4,36.3,28.3,35.3,5,"78,392",18
106/07/18,109 台北一,LA1 甘藍 初秋 ,39.4,34.2,25.4,33.4,-5,"78,066",0
106/07/19,109 台北一,LA1 甘藍 初秋 ,40,35.2,27.3,34.6,4,"59,556",-24
106/07/20,109 台北一,LA1 甘藍 初秋 ,40.5,35,26.9,34.5,0,"50,045",-16
106/07/21,109 台北一,LA1 甘藍 初秋 ,42.9,39.9,23.9,37.3,8,"38,658",-23
106/07/22,109 台北一,LA1 甘藍 初秋 ,43.9,41,33.2,40,7,"51,110",32
106/07/23,109 台北一,LA1 甘藍 初秋 ,49.6,45.7,38.4,45,13,"47,944",-6
106/07/25,109 台北一,LA1 甘藍 初秋 ,49,44.6,32.5,43,-4,"48,561",1
106/07/26,109 台北一,LA1 甘藍 初秋 ,49.5,45.7,30.8,43.4,1,"42,595",-12
106/07/27,109 台北一,LA1 甘藍 初秋 ,49.9,45.3,29.6,43.1,-1,"40,902",-4
106/07/28,109 台北一,LA1 甘藍 初秋 ,53.7,49.1,32.1,46.6,8,"52,980",30
106/07/29,109 台北一,LA1 甘藍 初秋 ,54.3,46.9,31.5,45.3,-3,"85,455",61
106/07/30,109 台北一,LA1 甘藍 初秋 ,48.7,42.5,33.3,41.9,-8,"59,258",-31
106/08/01,109 台北一,LA1 甘藍 初秋 ,52.4,39.4,31.1,40.4,-4,"41,489",-30
106/08/02,109 台北一,LA1 甘藍 初秋 ,44.2,34,21.5,33.5,-17,"44,756",8
106/08/03,109 台北一,LA1 甘藍 初秋 ,40.1,33.5,22,32.5,-3,"40,646",-9
106/08/04,109 台北一,LA1 甘藍 初秋 ,43.8,37.5,20.9,35.5,9,"39,087",-4
106/08/05,109 台北一,LA1 甘藍 初秋 ,42.1,32.1,21.5,32,-10,"68,993",77
106/08/06,109 台北一,LA1 甘藍 初秋 ,35.6,30,18.9,28.9,-10,"83,237",21
106/08/08,109 台北一,LA1 甘藍 初秋 ,39.2,32.8,26.9,32.9,14,"58,634",-30
106/08/09,109 台北一,LA1 甘藍 初秋 ,39.1,35.7,28.7,35,6,"49,852",-15
106/08/10,109 台北一,LA1 甘藍 初秋 ,38,29.8,22.7,30,-14,"55,228",11
106/08/11,109 台北一,LA1 甘藍 初秋 ,45.4,36.5,27.6,36.5,22,"38,218",-31
106/08/12,109 台北一,LA1 甘藍 初秋 ,46.5,40.2,27.6,38.9,7,"46,863",23
106/08/13,109 台北一,LA1 甘藍 初秋 ,54.1,45,30.4,43.9,13,"37,457",-20
106/08/15,109 台北一,LA1 甘藍 初秋 ,49.7,38.4,26.3,38.3,-13,"54,630",46
106/08/16,109 台北一,LA1 甘藍 初秋 ,46.2,38.7,29.3,38.3,0,"51,046",-7
106/08/17,109 台北一,LA1 甘藍 初秋 ,46.9,39.9,30.3,39.4,3,"48,318",-5
106/08/18,109 台北一,LA1 甘藍 初秋 ,49.8,41.9,34.2,42,7,"37,530",-22
106/08/19,109 台北一,LA1 甘藍 初秋 ,51.9,41.9,21.5,39.8,-5,"43,640",16
106/08/20,109 台北一,LA1 甘藍 初秋 ,47.1,39.1,26.2,38.1,-4,"60,081",38
106/08/22,109 台北一,LA1 甘藍 初秋 ,47.4,40.9,32,40.4,6,"50,683",-16
106/08/23,109 台北一,LA1 甘藍 初秋 ,48.3,39.7,30.4,39.5,-2,"34,215",-32
106/08/24,109 台北一,LA1 甘藍 初秋 ,45.7,37.2,27.2,36.9,-7,"42,156",23
106/08/25,109 台北一,LA1 甘藍 初秋 ,44.7,34.4,17.7,33.1,-10,"46,346",10
106/08/26,109 台北一,LA1 甘藍 初秋 ,45.3,33.6,13.7,32,-3,"49,145",6
106/08/27,109 台北一,LA1 甘藍 初秋 ,41.3,30.9,12.3,29.3,-8,"49,898",2
106/08/29,109 台北一,LA1 甘藍 初秋 ,45.8,33.3,17.7,32.7,12,"52,289",5
106/08/30,109 台北一,LA1 甘藍 初秋 ,41,29,16.4,28.9,-12,"51,962",-1
106/08/31,109 台北一,LA1 甘藍 初秋 ,39.1,28.7,12.9,27.6,-4,"57,316",10
106/09/01,109 台北一,LA1 甘藍 初秋 ,39.2,30.3,22.1,30.4,10,"55,498",-3
106/09/02,109 台北一,LA1 甘藍 初秋 ,40.7,31.9,16.8,30.6,1,"49,940",-10
106/09/03,109 台北一,LA1 甘藍 初秋 ,38.8,28.8,17.3,28.5,-7,"59,962",20
106/09/04,109 台北一,LA1 甘藍 初秋 ,47.2,33.1,21.4,33.6,18,"47,834",-20
106/09/05,109 台北一,LA1 甘藍 初秋 ,43.2,32.6,19.7,32.1,-4,"52,259",9
106/09/08,109 台北一,LA1 甘藍 初秋 ,50.8,41.2,21.2,39.1,22,"35,108",-33
106/09/09,109 台北一,LA1 甘藍 初秋 ,51.6,36.9,15.3,35.5,-9,"40,205",15
106/09/10,109 台北一,LA1 甘藍 初秋 ,55.1,37.1,19.4,37.1,5,"40,689",1
106/09/12,109 台北一,LA1 甘藍 初秋 ,55.9,50.1,30.1,47.3,27,"51,836",27
106/09/13,109 台北一,LA1 甘藍 初秋 ,51.2,35.9,13.2,34.4,-27,"42,911",-17
106/09/14,109 台北一,LA1 甘藍 初秋 ,42.5,33.5,16.8,31.9,-7,"33,735",-21
106/09/15,109 台北一,LA1 甘藍 初秋 ,47,31.1,21.1,32.3,1,"26,413",-22
106/09/16,109 台北一,LA1 甘藍 初秋 ,40.3,25.9,15,26.6,-18,"39,841",51
106/09/17,109 台北一,LA1 甘藍 初秋 ,40,32.9,16.1,31,17,"28,552",-28
106/09/19,109 台北一,LA1 甘藍 初秋 ,41.8,28.7,15.6,28.7,-7,"25,147",-12
106/09/20,109 台北一,LA1 甘藍 初秋 ,42.8,26.9,14.1,27.5,-4,"32,563",29
106/09/21,109 台北一,LA1 甘藍 初秋 ,42.2,27.2,14.6,27.7,1,"23,838",-27
106/09/22,109 台北一,LA1 甘藍 初秋 ,49,32.5,12.7,31.8,15,"20,329",-15
106/09/23,109 台北一,LA1 甘藍 初秋 ,42.4,26.3,13.2,26.9,-15,"38,438",89
106/09/24,109 台北一,LA1 甘藍 初秋 ,38.5,23.3,12.7,24.2,-10,"40,512",5
106/09/26,109 台北一,LA1 甘藍 初秋 ,40.2,31.1,15.7,29.8,23,"28,043",-31
106/09/27,109 台北一,LA1 甘藍 初秋 ,38.3,26.8,13.6,26.5,-11,"28,162",0
106/09/28,109 台北一,LA1 甘藍 初秋 ,40.3,27.3,15.9,27.6,4,"21,432",-24
106/09/29,109 台北一,LA1 甘藍 初秋 ,42.5,30.1,17.1,30,9,"25,730",20
106/09/30,109 台北一,LA1 甘藍 初秋 ,39.5,27.4,14,27.1,-10,"36,507",42
106/10/01,109 台北一,LA1 甘藍 初秋 ,39.7,26.1,11.1,25.8,-5,"27,666",-24
106/10/03,109 台北一,LA1 甘藍 初秋 ,40.2,28.5,13.3,27.8,8,"39,746",44
106/10/04,109 台北一,LA1 甘藍 初秋 ,36.1,25.1,14.6,25.2,-9,"46,837",18
106/10/07,109 台北一,LA1 甘藍 初秋 ,37.3,25,15.6,25.6,2,"44,117",-6
106/10/08,109 台北一,LA1 甘藍 初秋 ,37.6,24.4,16.6,25.5,0,"50,170",14
106/10/10,109 台北一,LA1 甘藍 初秋 ,36.1,25.9,21,27,6,"41,838",-17
106/10/11,109 台北一,LA1 甘藍 初秋 ,29.7,22.7,17.7,23.1,-14,"43,889",5
106/10/12,109 台北一,LA1 甘藍 初秋 ,30.3,21.5,13.6,21.7,-6,"44,227",1
106/10/13,109 台北一,LA1 甘藍 初秋 ,30.2,23.4,16.3,23.3,7,"49,326",12
106/10/14,109 台北一,LA1 甘藍 初秋 ,34,26.7,15.8,26,12,"46,305",-6
106/10/15,109 台北一,LA1 甘藍 初秋 ,39.1,31,17.3,29.9,15,"45,931",-1
106/10/17,109 台北一,LA1 甘藍 初秋 ,41.5,28,15.5,28.2,-6,"44,323",-4
106/10/18,109 台北一,LA1 甘藍 初秋 ,41.1,23.1,11.2,24.3,-14,"45,612",3
106/10/19,109 台北一,LA1 甘藍 初秋 ,36.8,24.8,12.8,24.8,2,"47,498",4
106/10/20,109 台北一,LA1 甘藍 初秋 ,40.4,27.5,9.8,26.6,7,"47,734",0
106/10/21,109 台北一,LA1 甘藍 初秋 ,44.2,33.7,16.8,32.4,22,"38,642",-19
106/10/22,109 台北一,LA1 甘藍 初秋 ,47.9,35.6,13,33.5,3,"46,967",22
106/10/24,109 台北一,LA1 甘藍 初秋 ,46.8,37.4,25.5,36.9,10,"43,795",-7
106/10/25,109 台北一,LA1 甘藍 初秋 ,47.8,37.1,18.5,35.6,-4,"35,287",-19
106/10/26,109 台北一,LA1 甘藍 初秋 ,54.2,45.9,23.1,43,21,"26,350",-25
106/10/27,109 台北一,LA1 甘藍 初秋 ,52.7,43,11.6,38.6,-10,"34,194",30
106/10/28,109 台北一,LA1 甘藍 初秋 ,52.4,40.4,15.3,37.8,-2,"51,102",49
106/10/29,109 台北一,LA1 甘藍 初秋 ,48.1,40.5,13.3,36.5,-3,"43,039",-16
106/10/31,109 台北一,LA1 甘藍 初秋 ,50.5,33.6,13.7,33,-10,"50,273",17
106/11/01,109 台北一,LA1 甘藍 初秋 ,47.3,29.1,11.4,29.2,-12,"46,217",-8
106/11/02,109 台北一,LA1 甘藍 初秋 ,52.1,31.1,10.7,31.2,7,"42,917",-7
106/11/03,109 台北一,LA1 甘藍 初秋 ,53.3,28.5,8.9,29.5,-5,"50,830",18
106/11/04,109 台北一,LA1 甘藍 初秋 ,49.4,20.1,4.3,22.8,-23,"80,661",59
106/11/05,109 台北一,LA1 甘藍 初秋 ,48.9,25.6,6.4,26.4,16,"69,290",-14
106/11/07,109 台北一,LA1 甘藍 初秋 ,49.5,34.7,18,34.3,30,"60,504",-13
106/11/08,109 台北一,LA1 甘藍 初秋 ,49.9,34,17.8,33.9,-1,"46,701",-23
106/11/09,109 台北一,LA1 甘藍 初秋 ,48.4,28.3,16,29.9,-12,"59,154",27
106/11/10,109 台北一,LA1 甘藍 初秋 ,46.1,26.9,12.1,27.8,-7,"74,277",26
106/11/11,109 台北一,LA1 甘藍 初秋 ,36.7,20.4,9.5,21.5,-23,"94,529",27
106/11/12,109 台北一,LA1 甘藍 初秋 ,47.9,23.8,9.6,25.8,20,"85,552",-9
106/11/14,109 台北一,LA1 甘藍 初秋 ,39.4,24.9,15.6,25.9,0,"81,417",-5
106/11/15,109 台北一,LA1 甘藍 初秋 ,42.1,26.1,17,27.5,6,"65,126",-20
106/11/16,109 台北一,LA1 甘藍 初秋 ,38.8,21.9,13.4,23.6,-14,"74,851",15
106/11/17,109 台北一,LA1 甘藍 初秋 ,37.7,19.9,8.4,21.1,-11,"94,024",26
106/11/18,109 台北一,LA1 甘藍 初秋 ,37,17.8,8.5,19.8,-6,"122,705",31
106/11/19,109 台北一,LA1 甘藍 初秋 ,35.6,18.1,7.7,19.5,-2,"146,973",20
106/11/21,109 台北一,LA1 甘藍 初秋 ,32.3,17.4,11.4,19.2,-2,"139,743",-5
106/11/22,109 台北一,LA1 甘藍 初秋 ,29.2,15.8,8.4,17,-11,"131,741",-6
106/11/23,109 台北一,LA1 甘藍 初秋 ,32.1,17,10.6,18.7,10,"125,093",-5
106/11/24,109 台北一,LA1 甘藍 初秋 ,32.7,17.1,10.8,18.9,1,"135,320",8
106/11/25,109 台北一,LA1 甘藍 初秋 ,31.5,19.4,10.2,20,6,"157,073",16
106/11/26,109 台北一,LA1 甘藍 初秋 ,28.5,18.3,11.2,18.9,-6,"176,194",12
106/11/28,109 台北一,LA1 甘藍 初秋 ,27.6,12.6,6,14.3,-24,"214,997",22
106/11/29,109 台北一,LA1 甘藍 初秋 ,22.1,11.2,5.2,12.2,-15,"198,450",-8
106/11/30,109 台北一,LA1 甘藍 初秋 ,23.5,10.9,5.2,12.3,1,"172,361",-13
106/12/01,109 台北一,LA1 甘藍 初秋 ,24.2,12.3,6.8,13.6,11,"156,135",-9
106/12/02,109 台北一,LA1 甘藍 初秋 ,23.1,10.9,5.3,12.2,-10,"209,101",34
106/12/03,109 台北一,LA1 甘藍 初秋 ,26.4,10.4,5.5,12.6,3,"183,643",-12
106/12/05,109 台北一,LA1 甘藍 初秋 ,28.8,14.6,9.6,16.5,31,"154,719",-16
106/12/06,109 台北一,LA1 甘藍 初秋 ,29,15.4,8.3,16.7,1,"159,590",3
106/12/07,109 台北一,LA1 甘藍 初秋 ,29.5,19.3,13,20.1,20,"139,866",-12
106/12/08,109 台北一,LA1 甘藍 初秋 ,26.9,16.6,7.6,16.8,-16,"162,509",16
106/12/09,109 台北一,LA1 甘藍 初秋 ,34.3,19.4,11.8,20.8,24,"161,033",-1
106/12/10,109 台北一,LA1 甘藍 初秋 ,39.8,23.8,12.6,24.7,19,"147,294",-9
106/12/12,109 台北一,LA1 甘藍 初秋 ,35.5,22.7,13.5,23.4,-5,"165,951",13
106/12/13,109 台北一,LA1 甘藍 初秋 ,33.2,24,18.5,24.7,6,"131,602",-21
106/12/14,109 台北一,LA1 甘藍 初秋 ,34.9,27,22.3,27.7,12,"120,339",-9
106/12/15,109 台北一,LA1 甘藍 初秋 ,35.6,26.8,22.4,27.7,0,"125,295",4
106/12/16,109 台北一,LA1 甘藍 初秋 ,36.1,28.9,23.3,29.3,6,"130,381",4
106/12/17,109 台北一,LA1 甘藍 初秋 ,39.6,32.6,26.7,32.8,12,"149,120",14
106/12/19,109 台北一,LA1 甘藍 初秋 ,44.6,36.5,29.4,36.7,12,"136,297",-9
106/12/20,109 台北一,LA1 甘藍 初秋 ,43.2,36.4,29.9,36.5,-1,"136,106",0
106/12/21,109 台北一,LA1 甘藍 初秋 ,46.8,39.8,32.7,39.8,9,"127,225",-7
106/12/22,109 台北一,LA1 甘藍 初秋 ,44.2,38.7,30.3,38.1,-4,"134,718",6
106/12/23,109 台北一,LA1 甘藍 初秋 ,44.7,36.8,29.2,36.9,-3,"123,789",-8
106/12/24,109 台北一,LA1 甘藍 初秋 ,37,27.8,20.9,28.2,-24,"178,282",44
106/12/26,109 台北一,LA1 甘藍 初秋 ,34.2,29.7,23.8,29.4,4,"144,712",-19
106/12/27,109 台北一,LA1 甘藍 初秋 ,35.9,30.3,23.5,30.1,2,"131,877",-9
106/12/28,109 台北一,LA1 甘藍 初秋 ,34.2,27.4,21.5,27.6,-8,"149,318",13
106/12/29,109 台北一,LA1 甘藍 初秋 ,30.1,23.6,17.1,23.6,-14,"173,481",16
106/12/30,109 台北一,LA1 甘藍 初秋 ,30.7,24.4,20.6,24.9,6,"160,006",-8
106/12/31,109 台北一,LA1 甘藍 初秋 ,26.5,20.8,15.9,21,-16,"211,063",32
107/01/02,109 台北一,LA1 甘藍 初秋 ,23.4,17.1,13.9,17.8,-15,"213,375",1
107/01/03,109 台北一,LA1 甘藍 初秋 ,23,17.8,14.7,18.2,2,"145,226",-32
107/01/04,109 台北一,LA1 甘藍 初秋 ,26.1,21.3,17.2,21.4,18,"97,455",-33
107/01/05,109 台北一,LA1 甘藍 初秋 ,25.8,20.2,16,20.5,-4,"155,384",59
107/01/06,109 台北一,LA1 甘藍 初秋 ,27.6,22.8,16.9,22.6,10,"148,615",-4
107/01/07,109 台北一,LA1 甘藍 初秋 ,26.4,21.4,18.1,21.7,-4,"156,428",5
107/01/09,109 台北一,LA1 甘藍 初秋 ,24.4,21.1,17.3,21,-3,"169,981",9
107/01/10,109 台北一,LA1 甘藍 初秋 ,25.1,22.1,20,22.3,6,"158,521",-7
107/01/11,109 台北一,LA1 甘藍 初秋 ,22,17.3,13.6,17.5,-22,"231,024",46
107/01/12,109 台北一,LA1 甘藍 初秋 ,18.4,14.5,10.3,14.4,-18,"228,996",-1
107/01/13,109 台北一,LA1 甘藍 初秋 ,16.4,12.7,10.4,13,-10,"252,537",10
107/01/14,109 台北一,LA1 甘藍 初秋 ,16,11.7,9,12,-8,"258,193",2
107/01/16,109 台北一,LA1 甘藍 初秋 ,17.4,12.6,10.4,13.1,9,"215,230",-17
107/01/17,109 台北一,LA1 甘藍 初秋 ,16.3,12.3,7.2,12.1,-8,"198,562",-8
107/01/18,109 台北一,LA1 甘藍 初秋 ,15.1,10.9,7.2,11,-9,"198,606",0
107/01/19,109 台北一,LA1 甘藍 初秋 ,14.6,9.8,6.5,10.1,-8,"200,097",1
107/01/20,109 台北一,LA1 甘藍 初秋 ,15.6,11,7.8,11.3,12,"172,880",-14
107/01/21,109 台北一,LA1 甘藍 初秋 ,15.7,11.8,9.1,12,6,"190,127",10
107/01/23,109 台北一,LA1 甘藍 初秋 ,12.9,9,6.1,9.2,-23,"274,031",44
107/01/24,109 台北一,LA1 甘藍 初秋 ,11.5,6.9,4.4,7.3,-21,"241,979",-12
107/01/25,109 台北一,LA1 甘藍 初秋 ,12,8.1,5.9,8.4,15,"174,045",-28
107/01/26,109 台北一,LA1 甘藍 初秋 ,12.2,8.7,6,8.8,5,"171,188",-2
107/01/27,109 台北一,LA1 甘藍 初秋 ,13.3,8.6,6.6,9.1,3,"207,757",21
107/01/28,109 台北一,LA1 甘藍 初秋 ,13.8,10.3,6.6,10.3,13,"178,780",-14
107/01/30,109 台北一,LA1 甘藍 初秋 ,17.9,14,10.9,14.1,37,"167,814",-6
107/01/31,109 台北一,LA1 甘藍 初秋 ,16.2,13.7,9,13.2,-6,"176,289",5
107/02/01,109 台北一,LA1 甘藍 初秋 ,17,14.3,8.6,13.7,4,"180,962",3
107/02/02,109 台北一,LA1 甘藍 初秋 ,20.2,16.7,11.2,16.3,19,"183,645",1
107/02/03,109 台北一,LA1 甘藍 初秋 ,17.1,13.7,9.6,13.5,-17,"244,631",33
107/02/04,109 台北一,LA1 甘藍 初秋 ,16.5,12,7.2,11.9,-12,"239,840",-2
107/02/06,109 台北一,LA1 甘藍 初秋 ,16.1,12.5,9.2,12.6,6,"236,233",-2
