year,day_of_year,special_avg,smooth_14day
1997,316,17.85038299912134,18.992745700824024
1998,316,24.17460926249594,25.82689282783326
1999,316,19.93302621461417,21.16871273475693
2000,316,26.02047747503025,27.771368302888114
2001,316,19.871510902713275,21.103383970704822
2002,316,18.031142274872817,19.19913516556078
2003,316,18.214811595000395,19.337689588304055
2004,316,23.05548656973279,24.530957876324152
2005,316,32.04738638308412,34.02304869984418
2006,316,25.40089666344894,27.046417763183864
2008,316,31.804893984133827,33.865101235358274
2009,316,25.072577807579727,26.677135968843118
2010,316,26.515042971958728,28.448336868117764
2011,316,30.23697317826883,32.1010268570026
2012,316,35.57781006802611,37.9718038516972
2013,316,33.01921636892015,35.158083080028625
2014,316,32.008099023974665,33.98128385841844
2015,316,33.952068617432154,36.12488344365262
2016,316,45.01137808019524,48.29329704944515
2017,316,34.02466554595285,36.31414985239989
2019,316,33.48537730154668,35.65444025019375
2020,316,31.537169341179606,33.48132304486224
2021,316,35.86857161646212,38.765648281594956
2022,316,45.06781197264935,47.846159534252365
2023,316,41.40764605928064,44.19392343478046
1996,317,13.005463744828281,14.766034007030642
1997,317,16.492821416543357,18.680194802662523
1999,317,18.417074953803013,20.81969583989473
2001,317,18.36023801906529,20.7554441768766
2002,317,16.659833544770496,18.892273398294524
2003,317,16.829534401985224,19.018757735461453
2004,317,21.30206520973998,24.12726832886318
2005,317,29.610110915221647,33.4619156755133
2007,317,25.703589914513756,29.569579077344326
2008,317,29.38606060599561,33.32383181232856
2009,317,23.16575214398231,26.23812820562768
2010,317,24.498514603861118,27.98407229205324
2011,317,27.937383686980088,31.571593223840875
2013,317,30.508031055334293,34.59614779416305
2014,317,29.573811447711524,33.42083873525902
2015,317,31.36993780229243,35.53040042660242
2016,317,41.588162025751274,47.50517129062281
2018,317,29.744071253583197,34.21777541347888
2019,317,30.938739405600906,35.08457163623195
2021,317,33.14068645843201,38.155221437429795
2022,317,41.64030399436516,47.057045647400834
2024,317,44.05918417207191,50.685975569650445
1997,318,19.382907561452267,18.68932645304588
1998,318,26.250093160032,25.683180671543504
1999,318,21.644353768593607,20.829892899895242
2000,318,28.254436312553533,27.616682910250688
2001,318,21.577557128754137,20.765609767730403
2002,318,19.579185721586892,18.901497518991253
2003,318,19.778623764685626,19.028075815151535
2004,318,25.034889446766048,24.139062733654576
2006,318,27.58166208701892,26.895415627366077
2007,318,30.207706415274714,29.404200059485564
2008,318,34.535467397343815,33.340102117136986
2009,318,27.225155784924,26.25095448586826
2010,318,28.79146217415663,27.997636488537516
2012,318,38.63230294954459,37.76030244766519
2013,318,35.854044065153914,34.61303930510868
2014,318,34.75611837740682,33.43721299287227
